Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 He, cm-3 
6 Ar, cm-3
7 H, cm-3
8 N, cm-3

      1          2          3          4          5          6          7          8
   57.0  0.000E+00  5.600E+15  1.502E+15  3.758E+10  6.699E+13  0.000E+00  0.000E+00
   58.0  0.000E+00  4.923E+15  1.321E+15  3.304E+10  5.889E+13  0.000E+00  0.000E+00
   59.0  0.000E+00  4.323E+15  1.160E+15  2.901E+10  5.171E+13  0.000E+00  0.000E+00
   60.0  0.000E+00  3.791E+15  1.017E+15  2.544E+10  4.534E+13  0.000E+00  0.000E+00
   61.0  0.000E+00  3.320E+15  8.906E+14  2.228E+10  3.971E+13  0.000E+00  0.000E+00
   62.0  0.000E+00  2.903E+15  7.788E+14  1.948E+10  3.473E+13  0.000E+00  0.000E+00
   63.0  0.000E+00  2.535E+15  6.798E+14  1.703E+10  3.032E+13  0.000E+00  0.000E+00
   64.0  0.000E+00  2.211E+15  5.923E+14  1.487E+10  2.643E+13  0.000E+00  0.000E+00
   65.0  0.000E+00  1.925E+15  5.153E+14  1.297E+10  2.301E+13  0.000E+00  0.000E+00
   66.0  0.000E+00  1.674E+15  4.476E+14  1.130E+10  2.000E+13  0.000E+00  0.000E+00
   67.0  0.000E+00  1.453E+15  3.882E+14  9.827E+09  1.736E+13  0.000E+00  0.000E+00
   68.0  0.000E+00  1.260E+15  3.363E+14  8.534E+09  1.505E+13  0.000E+00  0.000E+00
   69.0  0.000E+00  1.090E+15  2.909E+14  7.400E+09  1.302E+13  0.000E+00  0.000E+00
   70.0  0.000E+00  9.426E+14  2.512E+14  6.409E+09  1.126E+13  0.000E+00  0.000E+00
   71.0  0.000E+00  8.138E+14  2.167E+14  5.542E+09  9.716E+12  0.000E+00  0.000E+00
   72.0  0.000E+00  7.017E+14  1.867E+14  4.787E+09  8.376E+12  0.000E+00  0.000E+00
   73.0  7.119E+06  6.063E+14  1.612E+14  4.145E+09  7.235E+12  4.639E-23  2.125E+04
